,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
131,1.343,0.11945,0.783,-0.747,0.7417,0.02824,0.4863,1.162
132,-0.7007,0.9844,0.02585,-1.59,-0.382,0.1921,-2.05,-1.089
133,0.1167,-1.562,-0.2705,0.9854,2.645,-0.941,-2.05,1.162
134,0.1167,-1.812,-0.1059,1.191,2.645,-0.989,-2.05,1.162
135,-0.782,-0.827,0.6187,1.019,1.088,-1.319,-2.05,-1.089
136,0.03494,1.447,0.849,-0.6953,-0.4685,0.0452,0.4863,1.162
137,-0.946,1.49,-1.127,0.3586,0.2664,1.198,0.4863,0.03653
139,0.6885,-0.898,0.6514,-0.5356,-0.8145,0.339,0.4863,-1.089
140,0.607,0.1683,-0.666,-0.645,-0.382,-0.178,0.4863,-1.089
141,1.588,0.1412,0.586,0.6104,1.088,-0.921,0.4863,1.162
142,-0.946,0.359,0.4211,0.1951,-0.4685,-0.0424,0.4863,0.03653
143,-0.4553,-0.501,0.3552,-0.5586,0.569,-0.2515,0.4863,1.162
144,0.607,0.0868,1.1455,-1.911,-0.382,0.048,0.4863,-1.089
145,0.1984,0.1031,-1.16,0.808,0.7417,-0.291,0.4863,1.162
146,0.607,-1.485,1.212,-1.606,0.396,-1.212,0.4863,-1.089
147,-0.7007,0.1466,-0.8633,0.6978,-0.4685,-0.3984,0.4863,-1.089
148,-0.7007,0.299,0.12463,-0.523,-0.382,0.01976,0.4863,-1.089
149,-0.537,-0.005714,-1.621,0.7964,-0.2957,0.0734,0.4863,1.162
150,-0.537,-0.03293,-0.1388,-1.811,1.952,1.599,-2.05,1.162
151,1.588,-0.8,0.8164,1.074,1.088,-1.548,-2.05,1.162
152,0.28,-0.7944,-1.127,1.115,-1.073,-0.5425,0.4863,-1.089
153,1.669,-1.529,0.6187,1.003,1.261,-1.316,0.4863,-1.089
154,1.261,1.311,0.05878,-0.6045,-0.4685,0.1384,0.4863,1.162
155,1.751,1.594,0.05878,-0.3987,-0.2957,2.254,0.4863,-1.089
156,0.03494,0.4893,1.212,0.04437,0.7417,-0.986,0.4863,1.162
157,-0.7007,0.9736,-0.04004,-1.622,-0.382,0.144,-2.05,-1.089
158,-0.946,0.2827,0.02585,-0.864,-1.03,0.1412,0.4863,0.03653
159,1.833,-2.002,-1.621,1.179,-0.2957,-1.565,-2.05,-1.089
160,-0.3735,1.512,1.277,-1.235,-0.4685,1.754,0.4863,1.162
161,0.7705,1.131,0.6514,-0.3877,-0.6416,2.0,0.4863,-1.089
162,0.6885,-0.0982,-1.127,0.8716,-0.1227,1.354,0.4863,-1.089
163,-0.946,1.147,1.047,-1.614,-1.03,0.1666,-2.05,0.03653
164,1.914,-0.615,0.586,0.5005,1.174,0.11017,0.4863,1.162
165,-0.7007,0.277,-0.1059,0.8047,-1.073,-0.9604,0.4863,-1.089
166,0.6885,-1.17,1.08,-0.6523,-0.1227,-0.3276,0.4863,-1.089
167,-0.946,-0.08734,0.783,-1.862,-0.2524,-0.585,0.4863,0.03653
168,-1.027,-0.6206,-1.555,1.228,-0.4685,-0.4917,0.4863,-1.089
169,-0.946,-0.1581,0.4868,0.2861,0.09344,-1.227,0.4863,0.03653
170,1.588,-0.3975,0.6187,0.926,1.088,0.4067,0.4863,1.162
171,0.9336,0.4893,-1.588,0.662,-0.9873,0.339,0.4863,1.162
172,-0.7007,1.349,0.2893,-0.4502,-1.073,0.03955,0.4863,-1.089
173,-0.946,0.7344,-0.2377,0.1381,0.2664,0.6216,0.4863,0.03653
174,0.9336,-0.4028,-1.456,0.811,-0.9873,-0.288,0.4863,1.162
175,-0.864,0.2391,0.586,0.5703,-0.555,0.1554,0.4863,1.162
176,1.588,-0.3975,0.6514,0.9507,1.088,-1.161,-2.05,1.162
177,0.03494,0.2935,0.02585,0.433,-0.4685,-0.05087,0.4863,1.162
178,-0.782,0.756,-0.3694,0.685,0.569,0.955,0.4863,-1.089
179,-0.946,1.996,0.586,-1.907,0.1367,0.9434,0.4863,0.03653
