,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Nsites,Density (gm/cc),Has Bandstructure,Crystal System
132,0.761,1.545,1.442,-0.748,-1.073,-0.2825,0.4863,1.089
133,2.045,1.496,1.771,-1.911,-0.1227,0.3984,0.4863,-1.162
134,-1.072,1.42,0.4211,-0.2102,-1.073,2.27,0.4863,-0.03653
135,-0.3389,0.1466,-0.8633,0.6978,-0.4685,-0.3984,0.4863,1.089
136,0.11957,0.2391,0.586,0.5703,-0.555,0.1554,0.4863,-1.162
137,0.2112,-0.713,-0.00709,1.206,-0.728,-0.2996,0.4863,1.089
139,-1.072,-0.1581,0.4868,0.2861,0.09344,-1.227,0.4863,-0.03653
140,2.137,1.594,0.05878,-0.3987,-0.2957,2.254,0.4863,1.089
141,1.953,-0.4028,-0.04004,0.3972,0.569,-0.2656,0.4863,-1.162
142,-1.072,-1.687,1.08,1.3125,-0.3389,-0.5874,0.4863,-0.03653
143,-1.072,-0.3975,-0.8965,-1.911,-0.598,1.271,0.4863,-0.03653
144,-1.072,0.3208,0.2563,-1.056,-0.382,-0.2063,0.4863,-0.03653
145,1.587,-1.529,0.6187,1.003,1.261,-1.316,0.4863,1.089
146,-1.072,-0.751,-1.292,0.2448,0.3096,1.404,0.4863,-0.03653
147,-0.4307,1.349,0.2563,-0.6484,-0.4685,0.0876,0.4863,1.089
148,-0.3389,1.458,0.915,-0.5566,-1.073,0.3164,0.4863,1.089
149,-0.4307,1.469,1.014,-0.5386,1.952,0.04236,-2.05,1.089
150,-1.072,0.778,1.179,0.0857,-0.8145,1.782,0.4863,-0.03653
151,-0.3389,0.3315,0.3552,-0.144,-0.382,-0.2627,0.4863,1.089
152,-1.072,2.883,1.969,-0.54,-0.3389,0.7036,0.4863,-0.03653
153,-1.072,0.359,0.4211,0.1951,-0.4685,-0.0424,0.4863,-0.03653
154,-0.4307,0.07587,-1.16,1.258,-0.2957,0.12427,-2.05,1.089
155,1.128,0.25,-0.07294,0.6436,1.088,-0.3079,0.4863,-1.162
156,-1.072,-0.343,1.343,-0.844,-1.117,-0.777,0.4863,-0.03653
158,-1.072,-1.138,0.783,-1.911,-0.4685,-1.348,0.4863,-0.03653
159,0.3945,-0.7676,0.783,0.913,-0.2091,-0.797,0.4863,1.089
160,0.3945,-0.9634,0.8164,0.719,-0.2091,-0.9463,0.4863,1.089
161,0.02786,-1.191,2.102,0.4883,2.299,-1.345,-2.05,-1.162
162,0.3945,-0.1743,0.2893,-1.375,-0.9873,-1.119,-2.05,1.089
163,2.137,1.958,0.8164,-0.5547,-1.03,2.707,0.4863,1.089
164,-0.4307,0.5493,-1.259,0.6333,-0.2957,0.469,0.4863,1.089
165,0.945,1.512,1.738,-1.881,0.915,1.294,-2.05,-1.162
166,-1.072,1.2295,1.179,-1.907,-0.07947,-1.037,-2.05,-0.03653
167,1.77,0.201,-0.534,0.7266,-0.4685,-0.1978,0.4863,-1.162
168,-0.3389,0.299,0.12463,-0.523,-0.382,0.01976,0.4863,1.089
169,-1.072,0.9683,1.112,-1.58,0.7417,2.613,-2.05,-0.03653
170,-0.3389,1.349,0.2893,-0.4502,-1.073,0.03955,0.4863,1.089
171,-0.4307,-1.769,0.3552,1.603,1.261,-1.904,-2.05,1.089
172,0.761,1.55,1.508,-0.485,-1.073,-0.7344,0.4863,1.089
173,-0.4307,0.299,0.02585,0.727,-0.4685,-0.3984,0.4863,1.089
174,1.678,-1.312,0.3552,1.013,0.569,-0.87,0.4863,-1.162
175,0.761,-0.958,-0.995,1.097,-0.8145,-1.079,-2.05,1.089
176,2.229,-0.5933,0.7173,0.7354,1.174,0.0932,0.4863,-1.162
177,-1.072,0.201,1.311,-0.997,-0.4685,0.876,0.4863,-0.03653
178,-0.4307,-0.4302,0.454,0.8613,1.088,-1.054,-2.05,1.089
180,1.678,1.577,1.673,-1.267,-0.4685,0.6187,0.4863,-1.162
181,-0.889,-0.0982,-1.127,0.8716,-0.1227,1.354,0.4863,1.089
182,0.2112,-0.2832,0.454,0.7383,-0.728,-0.10455,0.4863,1.089
183,-1.072,-0.0982,0.849,-0.2323,0.09344,-1.557,0.4863,-0.03653
184,-1.164,-0.3975,0.6514,0.9507,1.088,-1.161,-2.05,-1.162
185,0.761,0.2554,-0.2047,0.753,-1.073,-0.7485,0.4863,1.089
186,-0.4307,0.0868,-1.259,0.758,-0.4685,-0.3135,0.4863,1.089
188,-0.889,-0.9033,-1.489,0.86,-0.03622,-0.2147,0.4863,1.089
189,-0.06384,0.277,-0.1059,0.506,-0.4685,-0.288,0.4863,-1.162
190,1.22,0.07587,0.52,-0.938,-0.4685,0.9634,0.4863,-1.162
191,-1.072,0.0378,-0.2705,-0.03192,0.2664,0.2203,0.4863,-0.03653
192,1.495,-0.4246,-1.588,0.7373,-0.2957,-0.03955,0.4863,-1.162
193,0.578,-1.007,0.09174,0.912,1.174,-0.9126,0.4863,-1.162
194,2.32,0.1575,-0.7974,-0.3887,-1.073,1.819,0.4863,-1.162
195,-1.072,0.4785,0.783,-1.75,-0.1659,-0.1243,0.4863,-0.03653
196,1.036,-0.615,0.586,0.5005,1.174,0.11017,0.4863,-1.162
197,-0.4307,0.348,0.3552,0.07745,0.7417,0.862,0.4863,1.089
198,-0.2472,0.163,-0.7646,-0.372,1.952,1.864,0.4863,-1.162
199,-1.072,1.147,1.047,-1.614,-1.03,0.1666,-2.05,-0.03653
200,0.2112,1.414,0.6846,-0.5938,-1.073,-0.0904,0.4863,1.089
201,0.3945,-0.3267,-1.456,0.355,-0.9873,-1.04,0.4863,1.089
202,1.861,-0.7617,0.1906,1.058,0.05023,-1.721,0.4863,-1.162
203,-1.072,0.3914,0.4211,0.556,-0.944,-0.653,0.4863,-0.03653
204,1.77,1.441,0.8164,-0.6553,-0.4685,-0.1384,0.4863,-1.162
205,-0.3389,1.082,0.6514,-1.776,-0.382,0.05368,0.4863,1.089
206,0.02786,-1.812,-0.1059,1.191,2.645,-0.989,-2.05,-1.162
207,1.312,1.055,1.937,0.412,1.693,-1.44,-2.05,1.089
208,1.22,0.4675,-1.72,0.6997,-0.2957,0.6978,0.4863,-1.162
209,0.578,-1.263,-1.456,1.294,-0.728,-0.6895,0.4863,-1.162
210,-1.072,0.2935,-0.8965,-1.911,-0.598,1.436,0.4863,-0.03653
211,0.761,-0.6206,-1.555,1.228,-0.4685,-0.4917,0.4863,1.089
212,-0.889,-0.0002728,-0.666,0.732,-0.03622,0.2656,0.4863,1.089
213,-1.072,-1.6,0.1906,0.9185,-0.2091,-0.9917,-2.05,-0.03653
214,2.412,-0.479,-1.917,0.8936,-0.9873,0.1554,0.4863,-1.162
215,2.32,1.447,0.849,-1.111,-1.073,2.197,0.4863,-1.162
216,-1.072,-1.197,-1.489,-0.1726,-0.03622,0.579,0.4863,-0.03653
217,0.3945,-1.366,0.02585,1.044,-0.555,-1.113,0.4863,1.089
